Product ID,Store ID,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days)
9286,16,700,10,14,132,2024-01-15,1052,6
2605,60,82,11,1,127,2024-12-16,1262,9
2859,55,145,25,14,192,2024-04-30,1457,12
2374,24,151,17,6,19,2024-12-16,2944,3
7678,5,714,12,2,21,2024-08-05,3739,7
8620,53,11,25,9,193,2024-05-01,3988,11
7599,22,960,3,6,185,2024-08-10,4383,13
7327,19,111,14,13,25,2024-05-28,1373,3
1002,28,569,10,4,141,2024-11-29,4949,13
8343,38,462,9,19,193,2024-06-02,2429,8
8078,68,271,11,6,173,2024-09-19,1854,4
2105,21,87,25,5,196,2024-04-12,4019,8
5907,2,410,3,13,88,2024-10-01,4350,2
2319,27,301,10,19,92,2024-10-03,1737,10
4733,41,611,10,0,190,2024-02-19,3714,4
4093,61,167,4,6,114,2024-11-20,4808,5
4493,8,732,8,13,179,2024-10-28,4095,14
8402,93,152,20,8,189,2024-04-14,3030,4
6046,97,317,4,18,156,2024-06-25,1338,2
9090,37,964,10,11,90,2024-06-08,2564,6
3164,47,620,11,10,136,2024-06-24,4761,14
6816,88,947,17,5,63,2024-01-30,4537,1
3099,91,462,28,18,195,2024-03-28,2813,1
5425,9,253,1,19,59,2024-01-17,3209,2
7648,77,482,25,16,152,2024-04-11,4961,7
6841,69,789,6,1,105,2024-05-11,2024,1
9337,79,38,7,16,172,2024-07-19,4313,12
1369,33,217,1,19,32,2024-02-14,1005,11
1240,88,127,11,0,154,2024-06-10,3355,1
4415,1,50,23,3,117,2024-04-29,4664,5
2852,8,82,10,5,154,2024-06-06,1158,5
9439,33,66,12,10,151,2024-07-03,1463,5
5332,69,441,28,10,11,2024-06-10,1831,6
8800,28,204,7,7,128,2024-03-27,3063,5
5128,50,484,23,3,183,2024-09-30,4075,4
9258,75,446,8,9,65,2024-07-02,1898,9
8519,67,725,8,7,126,2024-06-23,2617,8
2750,58,846,5,19,170,2024-05-09,2392,6
3169,22,797,4,18,73,2024-06-05,1154,2
1012,56,870,22,15,98,2024-07-28,2922,12
6063,14,131,24,6,113,2024-11-05,3486,12
8037,29,531,24,14,53,2024-07-05,2817,14
9443,43,934,5,5,102,2024-07-09,1586,7
6954,63,738,2,5,188,2024-09-24,2572,10
6227,76,639,20,14,192,2024-11-25,3264,11
6727,93,570,21,16,73,2024-12-05,2095,1
2615,94,538,5,2,25,2024-01-09,3756,2
4990,73,515,28,18,154,2024-12-23,4972,9
2321,2,302,26,3,97,2024-03-02,3240,8
9005,42,669,27,11,82,2024-06-30,2264,10
5367,8,383,26,13,149,2024-04-03,1051,5
1356,78,643,16,3,141,2024-03-12,2109,4
7667,66,515,20,9,143,2024-11-21,4655,7
2327,16,61,1,6,136,2024-11-02,1826,7
3156,7,146,20,9,122,2024-09-11,3060,7
5873,45,247,22,0,155,2024-02-23,1473,13
5761,1,621,3,18,39,2024-11-13,4875,3
7874,78,499,26,1,104,2024-11-05,2992,3
1294,31,949,13,4,198,2024-11-08,2465,13
7491,36,942,14,19,39,2024-12-06,3020,14
4547,20,559,22,16,144,2024-03-24,4953,5
1376,35,694,25,8,193,2024-11-07,4430,5
9936,3,614,14,6,14,2024-03-06,2652,11
6489,16,908,12,5,124,2024-04-20,4919,3
8813,43,639,16,0,76,2024-11-01,1130,1
1085,20,536,1,12,160,2024-03-11,3468,13
7236,3,369,23,9,135,2024-03-04,1410,3
8520,62,843,12,15,75,2024-09-04,3447,5
8654,54,844,17,2,175,2024-11-13,2329,4
2211,63,709,17,18,15,2024-06-10,4602,7
1212,67,454,26,1,87,2024-06-26,1929,12
4083,65,896,23,2,166,2024-09-15,3169,4
6630,48,663,4,9,176,2024-05-11,4572,10
2954,67,941,5,11,80,2024-03-31,3029,12
3151,65,127,25,7,75,2024-10-07,4003,3
6675,55,432,20,15,84,2024-10-24,4866,14
5119,53,171,6,13,18,2024-02-11,4894,12
6302,71,563,22,12,125,2024-10-29,1128,12
2928,46,660,25,8,22,2024-07-23,3929,11
9342,73,781,23,17,47,2024-07-21,2590,13
2242,42,408,6,15,23,2024-10-12,4068,13
4208,85,279,3,2,106,2024-08-22,3633,6
4366,55,213,24,3,177,2024-10-25,4481,13
1056,34,507,10,2,146,2024-12-21,1045,6
7540,47,273,21,3,76,2024-01-16,2844,3
3444,62,548,12,4,125,2024-08-30,4198,7
1556,45,121,3,5,128,2024-09-06,1022,9
3216,87,705,27,9,198,2024-07-12,3038,14
7517,10,726,8,0,162,2024-10-26,1168,9
5500,62,551,1,16,127,2024-05-20,1620,3
9739,55,544,28,5,46,2024-12-01,3130,8
9965,54,886,22,19,145,2024-03-01,3891,7
9265,38,843,23,8,97,2024-05-16,4646,12
5520,21,649,12,9,58,2024-09-22,4649,11
7000,34,371,19,17,92,2024-01-20,1763,9
9358,79,937,4,7,191,2024-12-22,3698,4
6632,47,235,6,12,71,2024-04-26,3628,4
7455,95,44,16,4,72,2024-08-08,1545,2
8103,36,676,24,2,122,2024-06-07,1970,2
4677,1,934,24,12,60,2024-02-24,2271,12
8700,4,766,20,16,115,2024-09-03,3480,12
9646,51,424,10,2,121,2024-03-29,1240,12
2698,79,370,9,2,36,2024-09-06,3848,11
1729,9,211,17,16,94,2024-05-23,3682,13
3283,39,67,28,5,56,2024-03-25,4945,13
6468,18,823,29,17,39,2024-02-18,4140,6
4323,33,928,8,19,162,2024-08-31,2757,3
9818,59,627,24,19,24,2024-05-27,1486,1
3689,90,842,10,11,198,2024-10-15,4562,1
4997,98,722,3,16,192,2024-09-07,2122,2
6557,33,725,12,17,116,2024-10-09,2157,12
5407,62,744,7,6,19,2024-04-19,2985,2
7368,13,660,8,18,44,2024-06-29,3584,12
3955,44,852,24,8,120,2024-04-16,1558,9
3346,87,751,8,13,185,2024-07-24,4885,11
2415,99,420,13,18,15,2024-02-18,4470,11
1596,58,887,25,13,159,2024-11-15,1333,6
7844,83,714,24,1,28,2024-01-30,3435,13
1260,98,360,26,2,197,2024-09-04,4537,8
8886,65,483,12,0,189,2024-04-30,2801,5
9773,32,38,1,7,106,2024-05-09,2804,8
1628,40,208,24,4,92,2024-12-17,1187,7
3579,65,574,7,18,70,2024-08-23,2141,10
5046,80,224,9,19,18,2024-10-08,4822,6
5750,54,43,9,1,151,2024-01-14,3430,5
3383,18,287,27,5,43,2024-01-28,1370,1
7014,86,863,18,16,170,2024-12-19,2967,11
5254,19,161,8,5,23,2024-12-06,1391,12
8900,77,81,21,19,159,2024-06-12,4115,4
8704,54,560,8,0,128,2024-03-18,1682,5
6253,51,967,3,7,183,2024-09-17,3882,3
2874,56,562,6,6,50,2024-07-24,1231,13
8145,83,609,23,9,151,2024-11-16,1264,14
9866,54,676,15,5,150,2024-09-24,2939,8
2712,49,145,25,6,134,2024-08-03,3682,7
7087,87,425,15,3,145,2024-11-10,2853,5
8203,23,921,8,19,84,2024-05-25,2266,7
8366,54,385,6,15,20,2024-01-04,2982,10
5230,38,953,5,7,145,2024-11-22,1480,12
9864,29,923,16,9,68,2024-12-26,1615,2
7639,31,929,8,9,50,2024-03-13,4225,6
9145,35,38,9,4,33,2024-10-14,4172,11
5233,56,425,23,15,160,2024-02-04,2891,8
5870,26,563,28,9,159,2024-09-23,1371,9
9091,46,89,7,3,57,2024-08-08,2051,10
9937,78,364,2,6,125,2024-03-17,2043,7
6460,23,821,27,2,47,2024-06-14,4237,4
8775,83,795,11,5,61,2024-08-13,2631,4
4573,51,867,18,7,56,2024-12-24,2851,14
3221,35,313,18,5,29,2024-06-08,4429,12
9949,85,392,11,2,48,2024-02-06,1801,1
1556,48,805,10,9,86,2024-10-06,1768,10
4413,23,843,17,17,173,2024-04-02,3216,13
8965,75,902,1,0,22,2024-08-06,3697,14
9649,36,152,16,9,99,2024-08-23,4274,13
9881,56,928,16,18,61,2024-08-24,1479,5
4752,49,812,20,13,34,2024-07-24,4641,14
1343,6,62,18,16,23,2024-11-05,2184,4
4719,87,945,1,1,21,2024-07-23,4010,7
2319,76,411,1,2,53,2024-08-24,1748,6
2721,49,453,15,7,176,2024-03-18,3226,5
4739,91,578,29,17,158,2024-06-28,2377,9
4561,18,649,4,7,88,2024-03-22,2536,13
1817,52,956,5,10,20,2024-09-26,4564,2
5253,36,304,3,7,145,2024-04-29,2159,12
4385,41,390,21,16,85,2024-11-28,3710,2
4841,38,554,12,2,93,2024-07-30,4691,13
4950,53,174,15,4,56,2024-01-21,3369,6
8511,40,836,18,4,38,2024-05-25,2882,14
1127,72,878,9,15,79,2024-03-17,4314,10
7036,50,56,25,10,183,2024-04-28,3126,13
5057,65,874,29,10,130,2024-07-22,4198,6
8492,39,710,17,16,39,2024-09-22,4976,13
2400,62,477,29,16,166,2024-10-17,2407,5
7185,53,674,11,4,90,2024-01-18,1833,13
8624,34,809,6,18,116,2024-09-12,2282,12
2502,69,301,22,6,124,2024-07-19,4029,4
6766,67,351,28,8,121,2024-10-04,2660,5
9719,88,746,12,13,102,2024-07-16,3267,9
3880,23,87,10,3,195,2024-04-27,1079,9
4674,93,567,8,13,91,2024-10-08,1181,10
2026,13,904,14,6,88,2024-04-05,4349,12
8214,49,31,15,10,44,2024-07-25,1178,14
4584,57,75,29,18,192,2024-07-21,1339,4
2841,52,814,11,15,118,2024-11-21,4246,13
6495,26,608,16,14,137,2024-05-04,4974,5
3254,24,409,4,6,20,2024-03-25,3090,1
8260,50,653,28,0,81,2024-01-22,1436,10
8146,31,156,10,0,146,2024-09-20,4636,4
7460,67,715,3,4,27,2024-03-17,1673,1
9470,70,816,10,18,172,2024-09-14,4324,9
4703,54,382,10,7,134,2024-10-28,2282,1
6788,56,436,29,4,170,2024-11-30,2186,4
8657,16,140,5,18,150,2024-06-01,4039,14
4553,55,353,10,13,148,2024-05-11,3099,3
1118,74,159,27,0,82,2024-08-24,2909,3
8767,25,883,22,9,188,2024-10-14,3797,4
2351,90,89,7,5,65,2024-07-17,3844,12
3647,69,841,4,15,26,2024-05-25,2435,8
2148,25,326,20,5,91,2024-12-15,2339,14
5592,84,774,22,19,133,2024-07-02,4312,13
3231,22,697,9,12,164,2024-07-23,3572,9
6637,51,325,16,14,180,2024-01-16,4360,4
4692,37,932,13,9,93,2024-04-27,2402,3
1834,14,346,29,18,10,2024-06-29,2828,9
8563,96,716,21,12,63,2024-09-25,3383,10
9305,6,286,19,19,40,2024-03-03,2497,7
3749,20,990,10,17,196,2024-12-12,2651,3
3122,82,284,10,5,96,2024-03-21,3525,10
1084,31,405,11,4,167,2024-04-29,4296,6
5407,28,990,25,3,85,2024-07-11,4354,13
1772,93,101,13,0,140,2024-03-17,2887,9
4467,79,617,8,18,93,2024-09-08,3574,13
4478,35,931,4,15,142,2024-03-27,2252,7
6828,24,102,16,9,28,2024-09-23,1191,8
4715,31,843,24,15,85,2024-06-05,1027,7
8746,98,770,28,14,10,2024-08-09,4118,13
2538,73,524,29,3,110,2024-04-30,2554,12
1884,74,864,17,18,116,2024-06-11,2781,10
3460,90,934,6,12,171,2024-09-14,1246,2
9261,44,558,12,10,168,2024-01-06,4907,11
1898,23,140,8,6,71,2024-07-18,2111,4
7684,52,216,9,5,56,2024-07-26,1519,7
7765,1,978,13,1,181,2024-01-02,2386,14
2944,77,759,27,11,197,2024-04-07,4663,4
2013,14,38,6,14,107,2024-11-12,4005,12
8260,13,493,29,11,42,2024-05-28,3823,8
1764,24,879,20,5,131,2024-08-09,3879,13
3831,84,388,7,17,47,2024-07-14,4437,10
9108,42,667,3,9,192,2024-12-30,3513,2
9119,36,190,22,6,181,2024-05-04,3132,6
7202,69,244,8,9,27,2024-07-31,1504,3
2487,1,159,17,6,111,2024-10-04,3471,6
2795,91,653,19,18,165,2024-11-19,1590,5
1285,12,60,12,3,65,2024-01-15,4964,12
9717,5,192,4,6,189,2024-02-28,3654,11
8059,5,368,9,13,110,2024-02-26,1581,10
8647,1,895,28,9,148,2024-10-01,2660,3
8377,59,894,14,16,151,2024-12-26,2515,3
4127,33,508,26,0,186,2024-07-06,1530,1
8116,41,822,22,12,15,2024-06-05,4106,4
3000,24,475,12,17,23,2024-11-23,1420,9
9885,29,285,22,5,197,2024-01-09,1683,1
9404,68,722,3,19,129,2024-02-22,1329,3
2644,22,836,2,5,72,2024-02-13,3615,1
7433,71,432,10,18,191,2024-03-05,1163,9
9840,71,157,22,9,141,2024-08-14,1319,3
3807,66,707,19,5,154,2024-04-09,1620,10
7569,9,796,25,19,179,2024-01-16,2298,5
1558,74,901,4,18,100,2024-09-22,3184,4
1804,49,917,12,3,58,2024-03-18,4628,14
9300,57,773,16,18,168,2024-03-25,4963,7
4199,68,846,4,19,172,2024-04-30,2056,11
6105,59,307,27,5,95,2024-09-26,3789,1
8670,27,744,8,12,33,2024-03-29,2585,9
5998,62,69,12,18,137,2024-06-26,2853,12
7394,38,732,16,18,71,2024-03-16,3701,2
7881,52,666,26,1,11,2024-09-15,4294,6
3335,4,649,19,10,187,2024-05-06,4176,11
7412,83,855,16,13,21,2024-01-13,4988,13
2185,49,783,19,14,144,2024-07-01,2298,4
2177,3,387,3,4,53,2024-11-02,4313,14
7407,75,190,7,8,20,2024-07-26,3284,14
8222,88,635,10,17,151,2024-12-23,2734,3
1673,24,782,24,5,112,2024-09-20,4813,7
1959,28,917,18,14,15,2024-08-26,2925,3
2896,29,677,2,13,98,2024-01-18,4921,8
9763,70,11,7,13,90,2024-10-16,3719,14
7989,34,966,12,12,19,2024-01-15,1616,8
1841,14,190,26,11,22,2024-02-28,1441,5
6967,2,272,12,17,48,2024-05-10,2862,11
5913,77,833,14,15,18,2024-11-16,4991,12
7949,53,387,14,7,82,2024-01-06,2171,2
6456,61,706,13,10,176,2024-12-23,4517,14
8234,62,31,5,19,47,2024-01-16,2905,13
5426,64,41,2,0,198,2024-07-28,1021,11
5907,1,601,24,15,128,2024-08-03,1294,6
1290,79,338,5,1,64,2024-01-18,4634,12
7426,18,931,24,2,147,2024-10-03,2434,11
5600,56,135,6,5,84,2024-06-03,4721,7
3952,84,10,15,9,131,2024-08-31,4673,10
7956,34,798,12,1,117,2024-07-31,1078,4
2828,66,647,17,16,189,2024-03-10,4244,12
6760,7,575,29,14,41,2024-10-07,3749,1
3626,7,495,25,4,189,2024-10-25,2225,3
8131,59,134,4,3,182,2024-06-17,1833,10
5497,71,374,6,4,184,2024-10-06,4674,4
9633,36,189,1,6,21,2024-03-17,3903,14
1575,86,259,6,8,154,2024-03-16,2620,1
2148,78,216,11,7,13,2024-08-02,1367,10
2483,9,829,22,1,120,2024-11-14,4189,3
9007,82,430,17,6,60,2024-04-09,1747,4
8416,68,722,26,14,56,2024-07-02,2165,7
9259,75,803,16,13,102,2024-11-28,4293,10
5428,15,294,19,16,18,2024-09-25,1268,4
6642,88,61,16,12,164,2024-04-06,2765,3
8416,20,257,27,8,166,2024-11-19,3337,6
9512,23,650,13,8,159,2024-06-25,2112,14
8893,93,555,3,1,88,2024-10-14,4674,14
1374,40,387,29,11,58,2024-12-22,3645,7
2943,1,555,27,18,83,2024-10-04,4644,6
2261,88,743,20,9,168,2024-01-14,1477,7
1630,19,532,26,11,23,2024-10-11,1533,8
8567,44,645,19,2,144,2024-06-29,1370,2
1978,75,489,22,3,39,2024-05-31,1687,2
4451,40,39,9,16,100,2024-07-08,1863,11
3592,95,925,25,10,25,2024-05-10,4266,3
4014,56,272,12,7,180,2024-05-13,2138,14
1127,53,294,24,11,149,2024-06-04,3856,10
1327,77,912,8,18,40,2024-10-11,4570,13
2876,78,481,16,4,105,2024-05-08,3725,14
4132,50,395,21,6,97,2024-10-22,2348,6
8041,3,685,23,10,76,2024-05-03,2565,13
2610,2,877,24,3,164,2024-12-23,3252,5
4584,97,439,15,7,196,2024-09-08,1209,12
6726,72,401,7,3,127,2024-11-30,1537,9
5623,25,192,18,15,33,2024-08-22,4196,13
6098,99,674,16,13,150,2024-01-02,3994,2
9571,57,521,14,11,35,2024-04-04,2166,6
3658,88,220,4,2,149,2024-11-06,2323,4
1100,47,479,26,9,42,2024-11-07,3295,1
5383,27,920,3,3,129,2024-09-12,3481,14
3309,34,312,18,18,110,2024-02-25,4879,3
7984,36,664,4,11,48,2024-12-25,4559,9
1429,22,581,15,8,48,2024-11-28,1725,10
6673,60,323,26,11,180,2024-11-21,2048,4
8514,34,788,8,4,37,2024-07-20,4642,10
3764,75,996,1,6,52,2024-04-01,1754,6
3117,5,160,5,2,195,2024-10-23,2053,7
2570,82,237,10,10,171,2024-12-28,1306,13
6299,89,755,3,18,134,2024-05-10,3104,2
4205,91,726,11,4,68,2024-05-08,1588,7
8018,95,403,20,0,178,2024-04-09,2827,10
3531,90,998,14,0,161,2024-11-14,1003,1
3733,59,960,1,18,55,2024-04-15,1207,9
8113,14,125,15,15,91,2024-03-19,4163,2
8877,18,442,29,5,68,2024-06-12,1624,11
9088,3,307,8,19,31,2024-09-09,3762,6
7362,39,700,18,7,60,2024-12-16,2373,6
1705,36,394,24,19,128,2024-03-10,4922,11
4113,5,313,17,2,191,2024-03-11,4864,2
4680,63,498,15,14,148,2024-01-09,1216,3
3629,25,414,15,0,16,2024-05-05,2824,7
6948,43,665,27,0,23,2024-12-01,4203,13
1009,62,625,3,0,55,2024-03-31,4668,3
5005,42,101,29,17,87,2024-12-09,2548,10
4964,2,17,5,1,171,2024-11-27,4785,11
7504,14,923,29,5,190,2024-01-13,2669,7
4009,93,743,1,19,91,2024-09-25,3365,14
2406,17,969,12,16,95,2024-03-02,3461,4
2269,99,549,25,18,51,2024-03-29,3797,2
7233,51,995,29,16,77,2024-09-10,3217,14
3473,42,696,15,8,143,2024-11-08,2833,14
7675,73,390,18,3,17,2024-11-14,2947,9
8791,32,861,24,10,50,2024-11-19,3034,7
5705,13,149,22,16,182,2024-03-17,3711,5
7741,8,397,12,9,184,2024-07-27,1882,11
6663,87,809,2,14,136,2024-06-05,2786,1
2493,13,467,5,12,38,2024-12-18,3099,11
3952,66,48,6,0,59,2024-10-10,3725,14
2769,27,453,9,10,95,2024-09-06,1870,9
6955,72,977,26,8,24,2024-12-11,3119,4
5920,83,888,19,12,192,2024-07-16,2354,3
3866,24,712,20,15,190,2024-09-28,3545,3
5496,85,950,14,14,35,2024-01-04,4847,8
4495,12,702,16,19,84,2024-01-12,2818,13
8778,32,431,24,9,75,2024-07-16,3347,14
9715,95,893,29,13,22,2024-05-25,2149,8
5187,75,385,5,13,70,2024-01-06,4631,12
7848,1,408,29,2,55,2024-03-05,3466,14
1980,26,238,25,3,152,2024-08-20,2534,6
3519,87,578,11,2,106,2024-07-21,3250,1
3763,83,243,5,17,79,2024-12-20,3626,8
