Product ID,Store ID,Price,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index
9502,13,31.61,56.14,19.68,255,3,13.33,6.72,1.78
2068,77,35.51,63.04,16.88,5,3,1.5,8.38,1.67
7103,59,6.54,30.61,10.86,184,3,9.44,3.86,2.46
5288,19,13.61,15.94,45.28,337,1,15.11,8.8,0.88
7212,66,62.68,30.64,33.48,80,3,19.62,9.74,1.0
4809,6,44.87,68.31,28.35,452,4,3.05,7.01,1.48
2127,6,34.99,88.04,27.67,233,2,3.62,7.76,2.45
2914,86,27.91,59.28,5.15,427,2,18.96,6.29,1.7
7111,38,57.49,8.87,21.56,326,4,6.01,5.28,1.99
3500,19,62.71,75.97,25.07,41,2,15.82,5.65,2.0
6842,9,12.02,59.85,41.37,391,3,19.53,3.96,1.5
4766,60,63.8,7.16,48.63,40,3,12.26,3.07,1.65
8681,5,59.02,94.67,47.4,480,4,0.29,7.59,1.72
7044,39,20.23,5.57,6.96,345,3,13.68,4.46,2.37
2376,48,39.26,91.32,20.39,274,2,10.96,7.93,2.32
9814,28,74.7,7.05,40.96,430,1,10.73,4.34,1.31
3161,95,73.32,85.14,4.17,172,2,3.88,4.13,1.08
9681,62,47.46,5.97,25.59,233,4,15.9,7.94,0.97
3684,76,20.31,82.82,12.55,309,1,17.16,2.84,0.78
8289,47,64.62,90.65,39.44,51,4,19.4,8.81,2.12
2211,22,88.65,54.55,5.21,376,2,14.8,7.08,2.15
1343,74,68.81,35.24,11.05,330,3,13.49,9.7,1.97
6001,11,43.99,15.64,44.21,184,4,17.62,5.69,0.6
9130,56,46.39,74.51,13.39,355,4,12.19,3.93,1.59
2760,92,32.47,99.4,15.18,363,2,12.49,7.3,0.57
6920,16,90.91,68.33,37.19,135,1,14.88,7.21,1.77
5122,65,20.78,59.2,43.09,15,2,7.2,7.39,0.83
8445,49,65.6,44.04,1.02,183,2,4.51,5.03,2.1
7375,73,65.77,90.17,10.71,44,4,7.28,6.78,0.57
6990,45,70.35,96.04,35.14,209,1,5.13,8.12,0.96
7309,38,5.48,11.21,49.21,472,1,14.93,8.56,2.08
2665,32,98.37,87.65,6.91,213,3,11.97,5.32,2.04
6911,11,32.66,29.86,36.59,224,1,13.84,2.94,0.89
8109,68,94.26,29.21,19.33,345,1,16.02,6.6,2.02
